PKT_SIZE,FLAGS,FID,SEQ_NUMBER,NUMBER_OF_PKT,PKT_DELAY_NODE,PKT_RATE,BYTE_RATE,UTILIZATION,PKT_DELAY,PKT_RESEVED_TIME,FIRST_PKT_SENT,LAST_PKT_RESEVED,pkt_type__cbr,pkt_type__ping,pkt_type__tcp,to__Router,to__Server,to__Switch,from__Router,from__Server,from__Switch
55,1,10,188,16085,0.0,328.064183,18043.5,0.008437,0.0,1.823747,1.030058,50.060098,0,0,0,0,0,1,1,0,0
1540,1,7,831,16091,0.0,328.192835,505416.0,0.236321,0.0,3.765307,1.0,50.029102,0,0,1,1,0,0,0,0,1
55,1,1,11202,16091,0.0,328.316229,18057.4,0.00844,0.0,35.144827,1.03001,50.040685,0,0,0,1,0,0,0,1,0
55,1,8,306,16090,0.0,328.167767,18049.2,0.00844,0.0,2.183808,1.030051,50.059851,0,0,0,0,0,0,0,0,1
1540,1,9,2121,16088,0.0,328.11323,505294.0,0.236278,0.0,7.636968,1.0,50.031854,0,0,1,1,0,0,0,0,1
1000,1,37,717,6250,0.0,124.941827,124942.0,0.059605,0.00103,30.76727,25.0,75.02328,1,0,0,0,0,1,0,0,0
1000,1,27,2579,6250,0.0,124.942027,124942.0,0.059605,0.001126,45.663366,25.0,75.0232,1,0,0,0,0,1,0,0,0
1000,1,36,987,6250,0.0,124.942227,124942.0,0.059605,0.000858,32.927098,25.0,75.02312,1,0,0,0,0,1,0,0,0
55,1,5,5794,16091,0.0,328.218006,18052.0,0.00844,0.0,18.764677,1.030035,50.055377,0,0,0,0,0,1,1,0,0
1540,1,2,13867,16091,0.0,328.297855,505578.0,0.236321,0.0,43.252426,1.0,50.013418,0,0,1,0,0,1,0,0,0
1000,1,34,1869,6250,7.4e-05,124.943026,124943.0,0.059605,0.00168,39.98392,25.0,75.0228,1,0,0,0,0,1,0,0,0
1000,1,39,5351,6250,0.00072,124.941028,124941.0,0.059605,0.00136,67.8396,25.0,75.0236,1,0,0,0,1,0,1,0,0
1540,1,14,12011,16103,0.0,328.460131,505828.0,0.236498,0.001354,37.609499,1.0,50.025737,0,0,1,1,0,0,0,0,1
55,1,4,10454,16091,0.0,328.241051,18053.3,0.00844,0.0,32.899542,1.030029,50.051929,0,0,0,1,0,0,0,1,0
1540,1,3,2382,16091,0.0,328.26404,505526.0,0.236321,0.0,8.405512,1.0,50.018467,0,0,1,1,0,0,0,0,1
1540,1,13,11620,16103,0.000851,328.491489,505876.0,0.236498,0.001353,36.391978,1.0,50.021057,0,0,1,0,1,0,1,0,0
55,1,5,3595,16091,0.0,328.218006,18052.0,0.00844,0.0,12.122965,1.030035,50.055377,0,0,0,1,0,0,0,1,0
55,1,2,15020,16091,0.0,328.297902,18056.4,0.00844,0.0,46.782448,1.030016,50.043427,0,0,0,0,0,0,0,0,1
1540,1,10,2784,16085,0.0,328.063862,505218.0,0.236234,0.0,9.64291,1.0,50.030088,0,0,1,1,0,0,0,0,1
55,1,11,13529,16103,0.0,328.561918,18070.9,0.008446,0.0,42.226867,1.030013,50.040562,0,0,0,0,0,1,1,0,0
1540,1,1,4137,16091,0.0,328.316229,505606.0,0.236321,0.0,13.711366,1.0,50.010675,0,0,1,1,0,0,0,0,1
1000,1,40,5200,6250,0.0,124.940628,124941.0,0.059605,0.00152,66.63176,25.0,75.02376,1,0,0,0,0,1,0,0,0
1000,1,31,1231,6250,0.0,124.944225,124944.0,0.059605,1e-06,34.878241,25.0,75.02232,1,0,0,0,0,1,0,0,0
1540,1,7,2402,16091,0.0,328.192835,505416.0,0.236321,0.0,8.477595,1.0,50.029102,0,0,1,1,0,0,0,0,1
55,1,10,521,16085,0.0,328.064183,18043.5,0.008437,0.0,2.838613,1.030058,50.060098,0,0,0,1,0,0,0,1,0
1540,1,15,3917,16103,0.0,328.431807,505785.0,0.236498,0.0,13.059638,1.0,50.029965,0,0,1,1,0,0,0,0,1
55,1,2,2327,16091,0.0,328.297902,18056.4,0.00844,0.0,8.276683,1.030016,50.043427,0,0,0,0,0,0,0,0,1
1540,1,3,6539,16091,0.0,328.26404,505526.0,0.236321,0.0,20.963646,1.0,50.018467,0,0,1,0,0,1,0,0,0
1000,1,23,4122,6250,0.00016,124.943625,124944.0,0.059605,0.00032,58.00656,25.0,75.02256,1,0,0,1,0,0,0,0,1
55,1,14,3330,16103,0.0,328.460278,18065.3,0.008446,0.0,11.292686,1.030032,50.055747,0,0,0,0,0,0,0,0,1
55,1,14,14989,16103,0.0,328.460278,18065.3,0.008446,0.0,46.67969,1.030032,50.055747,0,0,0,1,0,0,0,1,0
1540,1,5,8237,16091,0.0,328.217832,505455.0,0.236321,0.0,26.113726,1.0,50.025368,0,0,1,0,1,0,1,0,0
55,1,3,752,16091,0.0,328.26412,18054.5,0.00844,0.0,3.542096,1.030022,50.048477,0,0,0,0,0,1,1,0,0
55,1,5,660,16091,0.0,328.218006,18052.0,0.00844,0.0,3.248208,1.030035,50.055377,0,0,0,0,0,0,0,0,1
1540,1,2,10207,16091,0.0,328.297855,505578.0,0.236321,0.0,32.109269,1.0,50.013418,0,0,1,0,1,0,1,0,0
55,1,4,4311,16091,0.0,328.241051,18053.3,0.00844,0.0,14.29255,1.030029,50.051929,0,0,0,1,0,0,0,1,0
1540,1,9,5963,16088,0.0,328.11323,505294.0,0.236278,0.0,19.242264,1.0,50.031854,0,0,1,0,1,0,1,0,0
1540,1,6,5502,16091,0.0,328.204637,505434.0,0.236321,0.0,17.833986,1.0,50.027339,0,0,1,0,0,1,0,0,0
1540,1,10,11517,16085,0.0,328.063862,505218.0,0.236234,0.000385,36.123015,1.0,50.030088,0,0,1,1,0,0,0,0,1
1540,1,2,10154,16091,0.0,328.297855,505578.0,0.236321,0.0,31.94838,1.0,50.013418,0,0,1,0,1,0,1,0,0
55,1,3,11745,16091,0.0,328.26412,18054.5,0.00844,0.0,36.831239,1.030022,50.048477,0,0,0,0,0,1,1,0,0
55,1,6,7834,16091,0.0,328.204851,18051.3,0.00844,0.0,24.926435,1.030042,50.057349,0,0,0,0,0,0,0,0,1
1540,1,12,12904,16103,0.0,328.522879,505925.0,0.236498,0.0,40.309599,1.0,50.016373,0,0,1,0,0,1,0,0,0
55,1,12,1401,16103,0.0,328.522947,18068.8,0.008446,0.0,5.473491,1.030019,50.046382,0,0,0,1,0,0,0,1,0
1540,1,3,3894,16091,0.0,328.26404,505526.0,0.236321,0.0,12.992237,1.0,50.018467,0,0,1,0,1,0,1,0,0
1540,1,14,618,16103,0.0,328.460131,505828.0,0.236498,0.0,3.09399,1.0,50.025737,0,0,1,0,0,1,0,0,0
576,1,0,925137,7110,0.0,95.145988,54761.052361,0.039026,0.113037,70.150013,1.27255,75.999821,0,0,1,0,0,1,1,0,0
1540,1,10,11602,16085,0.000124,328.063862,505218.0,0.236234,0.000124,36.368964,1.0,50.030088,0,0,1,0,1,0,1,0,0
55,1,13,3885,16103,0.0,328.491596,18067.0,0.008446,0.0,12.979362,1.030026,50.051067,0,0,0,1,0,0,0,1,0
1540,1,13,5146,16103,0.0,328.491489,505876.0,0.236498,0.0,16.753614,1.0,50.021057,0,0,1,1,0,0,0,0,1
1000,1,36,5422,6250,0.00048,124.942227,124942.0,0.059605,0.00088,68.40712,25.0,75.02312,1,0,0,0,1,0,1,0,0
1000,1,40,2115,6250,0.00072,124.940628,124941.0,0.059605,0.001526,41.951766,25.0,75.02376,1,0,0,1,0,0,0,0,1
1540,1,4,14471,16091,0.0,328.240918,505490.0,0.236321,0.0,45.109575,1.0,50.02192,0,0,1,0,0,1,0,0,0
1000,1,21,5376,6250,0.0,124.944425,124944.0,0.059605,0.0,68.03824,25.0,75.02224,1,0,0,0,0,1,0,0,0
1540,1,10,15512,16085,0.0,328.063862,505218.0,0.236234,0.001315,48.299323,1.0,50.030088,0,0,1,0,0,1,0,0,0
1000,1,28,4683,6250,0.00056,124.941627,124942.0,0.059605,0.00112,62.49536,25.0,75.02336,1,0,0,1,0,0,0,0,1
55,1,11,8257,16103,0.0,328.561918,18070.9,0.008446,0.0,26.18721,1.030013,50.040562,0,0,0,0,0,1,1,0,0
1540,1,10,10817,16085,0.000924,328.063862,505218.0,0.236234,0.001601,33.992084,1.0,50.030088,0,0,1,0,1,0,1,0,0
55,1,9,1674,16088,0.0,328.113525,18046.2,0.008438,0.0,6.33691,1.030054,50.061864,0,0,0,1,0,0,0,1,0
1540,1,8,3645,16090,0.0,328.167486,505378.0,0.236307,0.0,12.237614,1.0,50.029842,0,0,1,0,1,0,1,0,0
1540,1,16,14127,16092,0.0,328.205808,505437.0,0.236337,0.0,44.038181,1.0,50.030211,0,0,1,1,0,0,0,0,1
1000,1,35,1545,6250,0.000404,124.942626,124943.0,0.059605,0.000724,37.390964,25.0,75.02296,1,0,0,0,1,0,1,0,0
55,1,6,6302,16091,0.0,328.204851,18051.3,0.00844,0.0,20.279208,1.030042,50.057349,0,0,0,0,0,0,0,0,1
1000,1,33,4107,6250,0.00024,124.943426,124943.0,0.059605,0.0004,57.88664,25.0,75.02264,1,0,0,0,1,0,1,0,0
55,1,2,15604,16091,0.0,328.297902,18056.4,0.00844,0.0,48.579961,1.030016,50.043427,0,0,0,1,0,0,0,1,0
55,1,4,14936,16091,0.0,328.241051,18053.3,0.00844,0.0,46.542947,1.030029,50.051929,0,0,0,0,0,1,1,0,0
1000,1,37,4025,6250,0.00048,124.941827,124942.0,0.059605,0.00104,57.23128,25.0,75.02328,1,0,0,1,0,0,0,0,1
1540,1,13,913,16103,0.0,328.491489,505876.0,0.236498,0.0,3.99549,1.0,50.021057,0,0,1,1,0,0,0,0,1
55,1,11,1704,16103,0.0,328.561918,18070.9,0.008446,0.0,6.392238,1.030013,50.040562,0,0,0,0,0,1,1,0,0
1540,1,1,8457,16091,8e-05,328.316229,505606.0,0.236321,0.001723,26.768131,1.0,50.010675,0,0,1,0,0,1,0,0,0
1540,1,10,15567,16085,0.0,328.063862,505218.0,0.236234,0.0,48.449162,1.0,50.030088,0,0,1,0,1,0,1,0,0
1540,1,11,14359,16103,0.0016,328.561898,505985.0,0.236498,0.0016,44.714154,1.0,50.010552,0,0,1,0,1,0,1,0,0
1540,1,15,15642,16103,0.0,328.431807,505785.0,0.236498,0.0,48.630173,1.0,50.029965,0,0,1,1,0,0,0,0,1
55,1,14,678,16103,0.0,328.460278,18065.3,0.008446,0.0,3.305261,1.030032,50.055747,0,0,0,0,0,1,1,0,0
55,1,14,15570,16103,0.0,328.460278,18065.3,0.008446,0.0,48.446021,1.030032,50.055747,0,0,0,0,0,1,1,0,0
1540,1,11,6444,16103,0.0,328.561898,505985.0,0.236498,0.0,20.672592,1.0,50.010552,0,0,1,0,0,1,0,0,0
55,1,6,12971,16091,0.0,328.204851,18051.3,0.00844,0.0,40.57975,1.030042,50.057349,0,0,0,1,0,0,0,1,0
55,1,14,14763,16103,0.0,328.460278,18065.3,0.008446,0.0,46.008194,1.030032,50.055747,0,0,0,1,0,0,0,1,0
1540,1,7,12962,16091,0.00089,328.192835,505416.0,0.236321,0.001601,40.496016,1.0,50.029102,0,0,1,0,1,0,1,0,0
1540,1,10,461,16085,0.0,328.063862,505218.0,0.236234,0.0,2.627466,1.0,50.030088,0,0,1,0,1,0,1,0,0
55,1,7,13855,16091,0.0,328.19309,18050.6,0.00844,0.0,43.264314,1.030048,50.059112,0,0,0,0,0,1,1,0,0
55,1,6,10547,16091,0.0,328.204851,18051.3,0.00844,0.0,33.18274,1.030042,50.057349,0,0,0,0,0,0,0,0,1
55,1,13,13205,16103,0.0,328.491596,18067.0,0.008446,0.0,41.258382,1.030026,50.051067,0,0,0,0,0,1,1,0,0
55,1,14,16042,16103,0.0,328.460278,18065.3,0.008446,0.0,49.871694,1.030032,50.055747,0,0,0,0,0,1,1,0,0
1540,1,1,10509,16091,0.0,328.316229,505606.0,0.236321,0.0,33.020889,1.0,50.010675,0,0,1,0,0,1,0,0,0
55,1,12,15189,16103,0.0,328.522947,18068.8,0.008446,0.0,47.279443,1.030019,50.046382,0,0,0,0,0,0,0,0,1
1540,1,11,12304,16103,0.0,328.561898,505985.0,0.236498,0.000134,38.481678,1.0,50.010552,0,0,1,1,0,0,0,0,1
1540,1,11,13114,16103,0.0,328.561898,505985.0,0.236498,0.0016,40.93763,1.0,50.010552,0,0,1,1,0,0,0,0,1
1540,1,9,15465,16088,0.0,328.11323,505294.0,0.236278,0.0,48.141787,1.0,50.031854,0,0,1,1,0,0,0,0,1
1540,1,14,14759,16103,0.0,328.460131,505828.0,0.236498,0.000124,45.944994,1.0,50.025737,0,0,1,1,0,0,0,0,1
55,1,11,4355,16103,0.0,328.561918,18070.9,0.008446,0.0,14.405178,1.030013,50.040562,0,0,0,0,0,0,0,0,1
1540,1,5,15659,16091,0.0,328.217832,505455.0,0.236321,0.0,48.709643,1.0,50.025368,0,0,1,1,0,0,0,0,1
55,1,3,4199,16091,0.0,328.26412,18054.5,0.00844,0.0,13.92929,1.030022,50.048477,0,0,0,0,0,0,0,0,1
55,1,5,4161,16091,0.0,328.218006,18052.0,0.00844,0.0,13.815263,1.030035,50.055377,0,0,0,1,0,0,0,1,0
1000,1,37,2036,6250,0.00048,124.941827,124942.0,0.059605,0.001054,41.319294,25.0,75.02328,1,0,0,1,0,0,0,0,1
55,1,11,2209,16103,0.0,328.561918,18070.9,0.008446,0.0,7.90369,1.030013,50.040562,0,0,0,1,0,0,0,1,0
55,1,7,13750,16091,0.0,328.19309,18050.6,0.00844,0.0,42.934878,1.030048,50.059112,0,0,0,1,0,0,0,1,0
1000,1,35,1403,6250,0.0,124.942626,124943.0,0.059605,0.000786,36.255026,25.0,75.02296,1,0,0,0,0,1,0,0,0
1540,1,4,13265,16091,0.0,328.240918,505490.0,0.236321,0.000108,41.430395,1.0,50.02192,0,0,1,1,0,0,0,0,1
55,1,1,411,16091,0.0,328.316229,18057.4,0.00844,0.0,2.50912,1.03001,50.040685,0,0,0,0,0,0,0,0,1
1000,1,40,1479,6250,0.000763,124.940628,124941.0,0.059605,0.001505,36.863745,25.0,75.02376,1,0,0,0,1,0,1,0,0
1540,1,3,7762,16091,0.0,328.26404,505526.0,0.236321,0.0,24.647517,1.0,50.018467,0,0,1,1,0,0,0,0,1
1000,1,38,4724,6250,0.00064,124.941427,124941.0,0.059605,0.0012,62.82344,25.0,75.02344,1,0,0,0,1,0,1,0,0
55,1,7,397,16091,0.0,328.19309,18050.6,0.00844,0.0,2.46796,1.030048,50.059112,0,0,0,0,0,0,0,0,1
55,1,6,2708,16091,0.0,328.204851,18051.3,0.00844,0.0,9.428816,1.030042,50.057349,0,0,0,0,0,0,0,0,1
55,1,3,1934,16091,0.0,328.26412,18054.5,0.00844,0.0,7.104962,1.030022,50.048477,0,0,0,0,0,0,0,0,1
1000,1,34,971,6250,0.00044,124.943026,124943.0,0.059605,0.00068,32.79892,25.0,75.0228,1,0,0,0,1,0,1,0,0
55,1,11,4862,16103,0.0,328.561918,18070.9,0.008446,0.0,15.916382,1.030013,50.040562,0,0,0,0,0,0,0,0,1
1000,1,37,4791,6250,0.00048,124.941827,124942.0,0.059605,0.00104,63.35928,25.0,75.02328,1,0,0,1,0,0,0,0,1
1000,1,40,1527,6250,0.0,124.940628,124941.0,0.059605,0.001459,37.247699,25.0,75.02376,1,0,0,0,0,1,0,0,0
55,1,3,15377,16091,0.0,328.26412,18054.5,0.00844,0.0,47.880571,1.030022,50.048477,0,0,0,1,0,0,0,1,0
1540,1,5,15530,16091,0.0,328.217832,505455.0,0.236321,8e-05,48.318386,1.0,50.025368,0,0,1,0,0,1,0,0,0
1540,1,10,1467,16085,0.0,328.063862,505218.0,0.236234,0.0,5.658502,1.0,50.030088,0,0,1,0,1,0,1,0,0
1540,1,1,1358,16091,0.0,328.316229,505606.0,0.236321,0.0,5.318658,1.0,50.010675,0,0,1,1,0,0,0,0,1
55,1,16,11966,16092,0.0,328.206042,18051.3,0.008441,0.0,37.494505,1.030045,50.060221,0,0,0,0,0,0,0,0,1
55,1,6,5016,16091,0.0,328.204851,18051.3,0.00844,0.0,16.413293,1.030042,50.057349,0,0,0,1,0,0,0,1,0
55,1,15,6874,16103,0.0,328.432001,18063.8,0.008446,0.0,22.025277,1.030038,50.059974,0,0,0,0,0,0,0,0,1
55,1,10,13524,16085,0.0,328.064183,18043.5,0.008437,0.0,42.263786,1.030058,50.060098,0,0,0,1,0,0,0,1,0
1000,1,40,4716,6250,0.00072,124.940628,124941.0,0.059605,0.00152,62.75976,25.0,75.02376,1,0,0,1,0,0,0,0,1
55,1,4,8604,16091,0.0,328.241051,18053.3,0.00844,0.0,27.271533,1.030029,50.051929,0,0,0,1,0,0,0,1,0
1540,1,6,10154,16091,0.0,328.204637,505434.0,0.236321,0.0,31.964498,1.0,50.027339,0,0,1,0,1,0,1,0,0
1540,1,1,9144,16091,0.0,328.316229,505606.0,0.236321,0.0,28.87825,1.0,50.010675,0,0,1,0,1,0,1,0,0
1540,1,15,1839,16103,0.0,328.431807,505785.0,0.236498,0.000123,6.780694,1.0,50.029965,0,0,1,1,0,0,0,0,1
1540,1,14,9040,16103,0.0,328.460131,505828.0,0.236498,0.0,28.545936,1.0,50.025737,0,0,1,0,1,0,1,0,0
1000,1,32,4107,6250,0.00016,124.943825,124944.0,0.059605,0.00024,57.88648,25.0,75.02248,1,0,0,0,1,0,1,0,0
55,1,15,8133,16103,0.0,328.432001,18063.8,0.008446,0.0,25.839378,1.030038,50.059974,0,0,0,0,0,1,1,0,0
1000,1,25,5494,6250,0.00032,124.942826,124943.0,0.059605,0.00064,68.98288,25.0,75.02288,1,0,0,1,0,0,0,0,1
55,1,6,11145,16091,0.0,328.204851,18051.3,0.00844,0.0,35.010522,1.030042,50.057349,0,0,0,0,0,1,1,0,0
1000,1,37,3678,6250,0.00048,124.941827,124942.0,0.059605,0.00104,54.45528,25.0,75.02328,1,0,0,1,0,0,0,0,1
1540,1,16,1811,16092,0.0,328.205808,505437.0,0.236337,0.0,6.721178,1.0,50.030211,0,0,1,0,1,0,1,0,0
55,1,11,15805,16103,0.0,328.561918,18070.9,0.008446,0.0,49.15847,1.030013,50.040562,0,0,0,0,0,0,0,0,1
1000,1,35,615,6250,0.00032,124.942626,124943.0,0.059605,0.000757,29.950997,25.0,75.02296,1,0,0,1,0,0,0,0,1
1540,1,9,5258,16088,0.0,328.11323,505294.0,0.236278,0.0,17.116013,1.0,50.031854,0,0,1,1,0,0,0,0,1
1540,1,3,3076,16091,0.0,328.26404,505526.0,0.236321,0.0,10.517182,1.0,50.018467,0,0,1,0,1,0,1,0,0
55,1,4,3797,16091,0.0,328.241051,18053.3,0.00844,0.0,12.724293,1.030029,50.051929,0,0,0,0,0,0,0,0,1
1000,1,37,5888,6250,0.00056,124.941827,124942.0,0.059605,0.00104,72.13528,25.0,75.02328,1,0,0,0,1,0,1,0,0
1540,1,16,5084,16092,0.0,328.205808,505437.0,0.236337,0.0,16.57868,1.0,50.030211,0,0,1,1,0,0,0,0,1
1540,1,11,10935,16103,0.0,328.561898,505985.0,0.236498,0.0,34.300636,1.0,50.010552,0,0,1,0,1,0,1,0,0
55,1,8,11843,16090,0.0,328.167767,18049.2,0.00844,0.0,37.142617,1.030051,50.059851,0,0,0,0,0,1,1,0,0
1540,1,3,5312,16091,0.0,328.26404,505526.0,0.236321,0.0,17.27879,1.0,50.018467,0,0,1,0,0,1,0,0,0
1540,1,3,15841,16091,0.0,328.26404,505526.0,0.236321,0.0,49.253037,1.0,50.018467,0,0,1,1,0,0,0,0,1
1000,1,33,1881,6250,0.000251,124.943426,124943.0,0.059605,0.000411,40.078651,25.0,75.02264,1,0,0,0,1,0,1,0,0
55,1,7,6912,16091,0.0,328.19309,18050.6,0.00844,0.0,22.151456,1.030048,50.059112,0,0,0,1,0,0,0,1,0
55,1,5,718,16091,0.0,328.218006,18052.0,0.00844,0.0,3.428853,1.030035,50.055377,0,0,0,1,0,0,0,1,0
1540,1,2,11554,16091,0.000808,328.297855,505578.0,0.236321,0.000808,36.210597,1.0,50.013418,0,0,1,0,1,0,1,0,0
1540,1,6,10853,16091,0.0,328.204637,505434.0,0.236321,0.0,34.093459,1.0,50.027339,0,0,1,1,0,0,0,0,1
55,1,5,10812,16091,0.0,328.218006,18052.0,0.00844,0.0,33.996387,1.030035,50.055377,0,0,0,0,0,0,0,0,1
55,1,7,1968,16091,0.0,328.19309,18050.6,0.00844,0.0,7.195771,1.030048,50.059112,0,0,0,0,0,1,1,0,0
1000,1,22,2625,6250,0.0,124.944025,124944.0,0.059605,0.000472,46.030712,25.0,75.0224,1,0,0,0,0,1,0,0,0
1540,1,1,13813,16091,0.0,328.316229,505606.0,0.236321,0.0,43.090766,1.0,50.010675,0,0,1,0,1,0,1,0,0
1000,1,25,2956,6250,0.0,124.942826,124943.0,0.059605,0.000782,48.679022,25.0,75.02288,1,0,0,0,0,1,0,0,0
1000,1,28,3045,6250,0.00056,124.941627,124942.0,0.059605,0.001174,49.391414,25.0,75.02336,1,0,0,1,0,0,0,0,1
55,1,2,10675,16091,0.0,328.297902,18056.4,0.00844,0.0,33.560162,1.030016,50.043427,0,0,0,0,0,0,0,0,1
1000,1,23,5130,6250,0.00016,124.943625,124944.0,0.059605,0.00032,66.07056,25.0,75.02256,1,0,0,1,0,0,0,0,1
1000,1,22,844,6250,0.00013,124.944025,124944.0,0.059605,0.000333,31.782573,25.0,75.0224,1,0,0,1,0,0,0,0,1
55,1,3,12480,16091,0.0,328.26412,18054.5,0.00844,0.0,39.049005,1.030022,50.048477,0,0,0,0,0,1,1,0,0
55,1,13,3632,16103,0.0,328.491596,18067.0,0.008446,0.0,12.236947,1.030026,50.051067,0,0,0,0,0,1,1,0,0
1540,1,5,9716,16091,0.0,328.217832,505455.0,0.236321,0.0,30.621046,1.0,50.025368,0,0,1,0,0,1,0,0,0
55,1,7,13763,16091,0.0,328.19309,18050.6,0.00844,0.0,42.988238,1.030048,50.059112,0,0,0,0,0,0,0,0,1
1000,1,34,3230,6250,0.0,124.943026,124943.0,0.059605,0.00056,50.8708,25.0,75.0228,1,0,0,0,0,1,0,0,0
1540,1,10,14510,16085,0.001046,328.063862,505218.0,0.236234,0.001723,45.224402,1.0,50.030088,0,0,1,0,1,0,1,0,0
1540,1,8,13587,16090,0.0,328.167486,505378.0,0.236307,0.001847,42.416376,1.0,50.029842,0,0,1,0,0,1,0,0,0
55,1,7,2461,16091,0.0,328.19309,18050.6,0.00844,0.0,8.688496,1.030048,50.059112,0,0,0,0,0,0,0,0,1
1540,1,1,5394,16091,0.0,328.316229,505606.0,0.236321,0.0,17.514415,1.0,50.010675,0,0,1,0,0,1,0,0,0
1000,1,22,2608,6250,1.8e-05,124.944025,124944.0,0.059605,0.000141,45.894381,25.0,75.0224,1,0,0,1,0,0,0,0,1
